"","AUD/JPY","AUD/NZD","AUD/USD","CAD/JPY","CHF/JPY","EUR/CHF","EUR/GBP","EUR/JPY","EUR/PLN","EUR/USD","GBP/JPY","GBP/USD","NZD/USD","USD/CAD","USD/CHF","USD/JPY","USD/MXN","USD/TRY","USD/ZAR"
"1 exchanges",909352.669392687,10743.965869494,6638.4810178828,1010851.314017,1532991.63958962,9834.40602822876,8778.38801774084,1506748.39960242,45992.8882318022,10995.3233718296,1716283.33148398,12528.7308367486,6178.53226605484,13552.9944289278,8943.99971095419,1369669.54141732,179589.143493036,194579.645982389,183425.840558538
"2 exchanges",934560.77561478,10810.7344299487,6638.51780227232,1051039.45504588,1571798.29707595,9802.84422339293,8686.12761669829,1540140.79957373,45213.167550776,10941.0699717509,1773619.20847523,12596.7177916012,6140.62154867922,13400.7351745256,8959.85821880448,1407751.39354942,175353.3481313,227335.335113413,186104.05605828
"3 exchanges",932522.367938213,10872.11515522,6723.54684802992,1039286.07621257,1567238.32330322,9722.69077034985,8674.49219892817,1523469.20464746,45021.8490183633,10981.5596184777,1756396.59421416,12661.7886357416,6184.41712388942,13351.0842109205,8856.65722993713,1386879.47038374,173618.715557718,232436.504362644,183292.589495945
"4 exchanges",928271.528102507,10807.2950434405,6605.24561703075,1047894.60493986,1574165.15124695,9730.06435759888,8642.25592845745,1531373.77431987,44980.763501494,10896.2883763443,1772233.23120007,12609.421793672,6111.97128222818,13416.256521639,8931.45850085384,1405281.02756491,173619.53974215,232968.103160035,186588.297746639
"5 exchanges",933794.057610496,10818.9676883359,6670.66392466213,1046102.90957024,1576335.66601677,9719.84450985959,8630.90170960447,1531770.53995809,44912.2003142068,10943.9576577022,1775247.25918608,12681.5741942689,6165.63003059318,13383.6969959189,8884.17570130324,1399886.74011871,173975.561907769,232324.025037474,185927.857946145
